ASP.NET 5: First Look - (Scott Allen)	https://app.pluralsight.com/library/courses/asp-dotnet-5-first-look/table-of-contents	----ID: asp-dotnet-5-first-look----**THIS COURSE APPEARS TO BE IN THE msdn-premium, msdn-professional, msdn-ultimate SLICES**----This was a first look course based on a prelease version of ASP.NET Core.  A lot has changed in ASP.NET Core since this course was published in 2015, and we have other courses that better cover the current state of ASP.NET Core.----Viewership seems to be < 200 hours per quarter, but I think we also want to get this out of the library just so someone isn't watching something that is an old, prerelease version
ASP.NET MVC Fundamentals - Scott Allen	https://app.pluralsight.com/library/courses/aspdotnet-mvc/table-of-contents	------**Reason for retirement **--- Old branding (Green slides)--- Uses MVC 1 it looks like--- Uses Visual Studio 2008--- On Top 100 list (#91)----We have LOTS of other MVC courses in the library that are on up to date versions so I am not going to list a specific replacement----
WCF Advanced Topics - (Aaron Skonnard)	https://app.pluralsight.com/library/courses/wcf-advanced-topics/table-of-contents	----**PUBLIC**--- Course is from 2009 and the content is now out of date--- Old slides--- Old Aspect ratio----Viewers can look at either https://app.pluralsight.com/library/courses/wcf-end-to-end/table-of-contents or https://app.pluralsight.com/library/courses/wcf-jumpstart/table-of-contents for more up to date coverage--
WCF For Architects - (Aaron Skonnard)	https://app.pluralsight.com/library/courses/wcf-for-architects/table-of-contents	----**PUBLIC**--- Course is from 2010 and this content is now dated--- Old Slides--- Old aspect ratio----Viewers can look at either https://app.pluralsight.com/library/courses/wcf-end-to-end/table-of-contents or https://app.pluralsight.com/library/courses/wcf-jumpstart/table-of-contents for more up to date coverage--
WCF Design Concepts - (Aaron Skonnard)	https://app.pluralsight.com/library/courses/wcf-design-concepts/table-of-contents	----**PUBLIC**--- Course is from 2008 and content is now out of date--- Old Slides--- Old Aspect ratio----Viewers can look at either https://app.pluralsight.com/library/courses/wcf-end-to-end/table-of-contents or https://app.pluralsight.com/library/courses/wcf-jumpstart/table-of-contents for more up to date coverage--
WCF by Example - (Aaron Skonnard)	https://app.pluralsight.com/library/courses/wcf-by-example/table-of-contents	----**PUBLIC**--- Course is from 2008 and out of date--- Old slides--- Old aspect ratio----**PRIVATE**--optional - any comments or info that might help the ASM----Replacement courses are already in the library, for example: --- https://app.pluralsight.com/library/courses/wcf-jumpstart/table-of-contents--- https://app.pluralsight.com/library/courses/wcf-end-to-end/table-of-contents--
WCF Fundamentals - (Aaron Skonnard)	https://app.pluralsight.com/library/courses/wcf-fundamentals/table-of-contents	----**PUBLIC**--- Course is from 2008 and now out of date--- Old Slides--- Old Aspect Ratio----**PRIVATE**--optional - any comments or info that might help the ASM----Viewers can look at either https://app.pluralsight.com/library/courses/wcf-end-to-end/table-of-contents or https://app.pluralsight.com/library/courses/wcf-jumpstart/table-of-contents for more up to date coverage--
Learning to build Apps With App Inventor (John Sonmez)	https://app.pluralsight.com/library/courses/android-beginner-app-inventor/table-of-contents)	--**PUBLIC**--- The course is old (Published in 2013)--- The course has very low views (< 30 hours/quarter)--- Uses old branding (Green slides)--- Wrong Aspect Ratio--**PRIVATE**--optional - any comments or info that might help the ASM--
Mono for Android - (John Sonmez)	https://app.pluralsight.com/library/courses/mono-for-android/table-of-contents)	--**PUBLIC**--Reason for retirement:--- Course is old (Published in 2011)--- Course has very low views (< 30 hours/quarter)--- Uses old branding (Green slides)--- Wrong Aspect Ratio--- Audio is not the best----**PRIVATE**--optional - any comments or info that might help the ASM--
Introduction to Android Development (John Sonmez)	https://app.pluralsight.com/library/courses/android-intro/table-of-contents)	--**PUBLIC**--- The course is old (Published in 2011)--- Uses old branding (Green slides)--- Wrong Aspect Ratio--**PRIVATE**--optional - any comments or info that might help the ASM--
ASP.NET MVC 2.0 Fundamentals - (Scott Allen)	https://app.pluralsight.com/library/courses/aspdotnet-mvc2/table-of-contents	----**PUBLIC**--Reason for retirement:--- This course is for a very old version of MVC--- Course is off brand (uses green slides)--- Wrong aspect ration--- Course is from 2010--- Viewership is pretty low----The replacement is already in the library, Scott's ASP.NET 5 fundamentals course.----**PRIVATE**--Scott is getting hit with a lot of retirements.  This course is not really a money-maker, but hopefully all these retirements happening together aren't too much of a blow to the ego.--
C# 4.0 New Features - Oliver Sturm	https://app.pluralsight.com/library/courses/cs40-whats-new/table-of-contents	----**Reason for retirement**--- 7 year old course--- Off brand (green slides)--- What's new for C# 4, but this content is now integrated into other courses in the library----No replacement needed as the content is now part of our other courses----
Exploring C# 6 with Jon Skeet - Rob Conery	https://app.pluralsight.com/library/courses/csharp-with-jon-skeet/table-of-contents	----Reason for retirement:--- Course is off brand--- Course doesn't really teach and we have a more effective one in the library that covers the same material (Scott Allen's What's New in C# 6)----Ultimately we need to also retire Scott's course and integrate these topics into our C# Fundamentals course(s).  But for right now, we only need one course in the library and I believe the Scott Allen course is the stronger course----Note:  This course did have 1700 viewing hours during Q1 2018.  That is probably due to name association with Jon Skeet.  I still feel the course doesn't do a lot of teaching.----Replacement Course: https://app.pluralsight.com/library/courses/csharp-6-whats-new/table-of-contents--
C# From Scratch - Jesse Liberty	https://app.pluralsight.com/library/courses/csharp-from-scratch/table-of-contents	----Reason for retirement:--- Jesse has an updated course in the library (C# 6 from scratch).  This is the earlier version, we should retire it to make sure people don't accidentally watch this one--- Course has the old branding----There is a part 2 to this course which I have a separate card for -- they should be retired together.----The replacement course is C# 6 from scratch, already in the library. --> https://app.pluralsight.com/library/courses/csharp-6-from-scratch/table-of-contents--------
C# From Scratch - Part 2	https://app.pluralsight.com/library/courses/csharp-from-scratch-part2/table-of-contents	------Reason for retirement:--- Jesse has an updated version of the course in the library - C# 6.0 from scratch.  This is part 2 of the older version of the course.  I want to retire it so people don't watch it on accident.--- Has the old branding----This is part 2 of the course, so we should retire this one and part one at the same time----Replacement Course: C# 6.0 From Scratch --> also by Jesse --> https://app.pluralsight.com/library/courses/csharp-6-from-scratch/table-of-contents--
WCF RIA Services Advanced Topics - (Yacine Khammal)	https://app.pluralsight.com/library/courses/silverlight-ria-services-advanced-topics/table-of-contents	----Reason for retirement--- Old branding--- RIA Services are not used any more.  Really meant to work with Silverlight which is dead----No replacement required----
WCF RIA Services - (Yacine Khammal)	[link to course goes here]()--Reason for retirement - possible replacement----
Asynchronous C# 5.0 - Jon Skeet	https://app.pluralsight.com/library/courses/skeet-async/table-of-contents	----**THIS COURSE LOOKS LIKE IT IS IN THE MSDN SLICE**------Reasons for Retirement--- This is an old Tekpub course so it is off brand--- It is done in C# 5.0/VS2012, so even though the information is still relevant, it appears outdated to the learner--- It is almost a play by play style, but they seem to be more chatting, not teaching--- The course is low rated (3.5) and we have other courses that rate higher----A suitable replacement course is already in the library - https://app.pluralsight.com/library/courses/asynchronous-programming-dotnet-getting-started/table-of-contents - This course is part of the C# path------
Silverlight Server Communication -(Shawn Wildermuth)	https://app.pluralsight.com/library/courses/silverlight-services/table-of-contents	----Reason for retirement--- Old branding (Green slides)--- It is on Silverlight that is now dead--- The audio is terrible----No replacement required - Silverlight isn't a thing any more--
ASP.NET Core 1.0 Fundamentals - Scott Allen	https://app.pluralsight.com/library/courses/aspdotnet-core-1-0-fundamentals/table-of-contents	----- This course is for ASP.NET Core 1.0.  Scott has the same course for ASP.NET Core 2.0.  Since .NET Core 1.0 is an old version so we should retire this version so people don't get confused and watch this one.--- This is a "Top 100" course Tod had marked as retire immediately on the Top 100 spreadsheet----Replacement Course - https://app.pluralsight.com/library/courses/aspdotnet-core-fundamentals/table-of-contents----
Using Speech Synthesis with Microsoft Office - (David Donovan)	https://app.pluralsight.com/library/courses/microsoft-office-speech-synthesis	----**PUBLIC** This course is five years and presented in a deprecated aspect ratio. The material in this course is outdated. More modern approaches to Speech Synthesis like AWS Polly are now available. ----**PRIVATE**  Retire with no replacement. Author is currently listed as Tier 4. Therefore it seems highly likely that he does not need to be contacted.----
Silverlight 3 Fundamentals - Ian Griffiths	https://app.pluralsight.com/library/courses/silverlight-fundamentals/table-of-contents	----- Silverlight as a technology is dead.  It is not supported in any modern browsers and MSFT has encouraged people to maove away from it--- This is on an old version (Silverlight 3).  The last version was version 5--- Version 5 was released 5 years ago (again it is dead)--- This is the old, old branding--- The course is getting ~30 hours of viewing a quarter----No replacement needed----Tier one author but it doesn't look like he has done anything for quite some time--
Silverlight 3 Advanced Topics - Ian Griffiths	https://app.pluralsight.com/library/courses/silverlight-advanced-topics/table-of-contents	----- Silverlight is no longer actively supported by MSFT--- This is on an old version (Silverlight 3) where as Slverlight 5 was last prod release--- Course is off brand--- Very low viewership (< 10 hours a quarter)----I'm looking to retire all the Silverlight content together since it is deprecated by MSFT----
What's New in Silverlight 5 - Sean Wildermuth	https://app.pluralsight.com/library/courses/silverlight5-new-features/table-of-contents	----- Silverlight is deprecated by MSFT and no longer supported in modern browsers--- Course is off brand--- Course has very low usage----No replacement needed.  --
Core Silverlight 4 - Ian Griffiths	https://app.pluralsight.com/library/courses/silverlight-core/table-of-contents	----- Silverlight is deprecated by Microsoft--- This course is on Silverlight 4, where as last version was Silverlight 5 (though that was still back in 2013)--- Course has outdated branding--- Very low usage----No replacement.  Silverlight is not really supported any more.
C++ Fundamentals - (Kate Gregory)	https://app.pluralsight.com/library/courses/cpp-fundamentals)	--**PUBLIC**--This course uses an older slide deck and the wrong aspect ratio. It is considered off brand and needs to be retired. The course is from 2011. The course is replaced by Kate's newer course [C++ Fundamentals Including C++ 17](https://app.pluralsight.com/library/courses/cplusplus-fundamentals-c17/table-of-contents)--**PRIVATE**--This course has already been removed from the C++ Path.--**NOTE** - This course is listed as being in the MSDN slice. Myles Wilson needs to be contacted about replacing this course on the slice.----
C++ Fundamentals - Part 2 - (Kate Gregory)	https://app.pluralsight.com/library/courses/cppfund2)	----**PUBLIC**--This course uses an older slide deck and the wrong aspect ratio. It is considered off brand and needs to be retired. The course is from 2011. The course is replaced by Kate's newer course [C++ Fundamentals Including C++ 17](https://app.pluralsight.com/library/courses/cplusplus-fundamentals-c17/table-of-contents)--**PRIVATE**--Unlike Part 1 this course is not part of the MSDN slice.--
Introduction to Visual Studio 2010 - Part 1 - (Kate Gregory)	https://app.pluralsight.com/library/courses/vs2010-gettingstarted)	--**PUBLIC**--This course uses an older slide deck and the wrong aspect ratio. It is considered off brand and needs to be retired. The course is from 2011. The course is replaced by Kate's newer course [Visual Studio 2017 Essentials and Beyond](https://app.pluralsight.com/library/courses/visual-studio-2017-essentials-beyond)--**PRIVATE**--In MSDN Slice
Introduction to Visual Studio 2010 - Part 2 - (Kate Gregory)	https://app.pluralsight.com/library/courses/vs2010-moreintro)	--**PUBLIC**--This course uses an older slide deck and the wrong aspect ratio. It is considered off brand and needs to be retired. The course is from 2011. The course is replaced by Kate's newer course [Visual Studio 2017 Essentials and Beyond](https://app.pluralsight.com/library/courses/visual-studio-2017-essentials-beyond)--**PRIVATE**--In MSDN Slice--
Introduction to Visual Studio 2012 - Part 1 - (Kate Gregory)	https://app.pluralsight.com/library/courses/vs2012-intro-part1/table-of-contents)	--**PUBLIC**--This course uses an older slide deck and the wrong aspect ratio. It is considered off brand and needs to be retired. The course is from 2012. The course is replaced by Kate's newer course [Visual Studio 2017 Essentials and Beyond](https://app.pluralsight.com/library/courses/visual-studio-2017-essentials-beyond)--**PRIVATE**--In MSDN Slice
Introduction to Visual Studio 2012 - Part 2 - (Kate Gregory)	https://app.pluralsight.com/library/courses/vs2012-intro-part2)	--**PUBLIC**--This course uses an older slide deck and the wrong aspect ratio. It is considered off brand and needs to be retired. The course is from 2012. The course is replaced by Kate's newer course [Visual Studio 2017 Essentials and Beyond](https://app.pluralsight.com/library/courses/visual-studio-2017-essentials-beyond)
Introduction to Visual Studio 2013 - Part 1 - (Kate Gregory)	https://app.pluralsight.com/library/courses/intro-visual-studio-2013)	--**PUBLIC**--This course uses an older slide deck and the wrong aspect ratio. It is considered off brand and needs to be retired. The course is from 2014. The course is replaced by Kate's newer course [Visual Studio 2017 Essentials and Beyond](https://app.pluralsight.com/library/courses/visual-studio-2017-essentials-beyond)
Introduction to Visual Studio 2013 - Part 2 - (Kate Gregory)	https://app.pluralsight.com/library/courses/intro-visual-studio-2013-part2/table-of-contents)	--**PUBLIC**--This course uses an older slide deck and the wrong aspect ratio. It is considered off brand and needs to be retired. The course is from 2014. The course is replaced by Kate's newer course [Visual Studio 2017 Essentials and Beyond](https://app.pluralsight.com/library/courses/visual-studio-2017-essentials-beyond)
Mastering Visual Studio 2012 - (Deborah Kurata)	https://app.pluralsight.com/library/courses/mastering-visual-studio-2012)	--**PUBLIC**--This course uses an older slide deck and the wrong aspect ratio. It is considered off brand and needs to be retired. The course is from 2013. Learners should be directed to [Visual Studio 2017 Essentials and Beyond](https://app.pluralsight.com/library/courses/visual-studio-2017-essentials-beyond)
Entity Framework 4.0 By Example - (Julie Lerman)	https://app.pluralsight.com/library/courses/ef4-fundamentals/table-of-contents	----**PUBLIC**--- Course is out of date (EF is at version 6 now)--- This is an old course from 2010--- Old branding--- Old Aspect ration--- We want people to watch Julie's new stuff--**PRIVATE**--optional - any comments or info that might help the ASM------The appropriate EF 6 course is https://app.pluralsight.com/library/courses/entity-framework-6-getting-started/table-of-contents
Entity Framework and Data Models - (Julie Lerman)	https://app.pluralsight.com/library/courses/efintro-models/table-of-contents	----**PUBLIC**--- Course is on old version of EF (EF 4)--- Old slides--- Old Aspect ration--- We want people to watch Julie's new stuff----**PRIVATE**--optional - any comments or info that might help the ASM----Replacement Course - --https://app.pluralsight.com/library/courses/entity-framework-6-getting-started/table-of-contents
Entity Framework 4.1 - Code First - (Julie Lerman)	https://app.pluralsight.com/library/courses/ef41-code-first/table-of-contents	----**PUBLIC**--- Old Version of EF (EF 4.1)--- Old Slides--- Old Aspect Ration--- WE want people to watch Julie's new stuff----**PRIVATE**--optional - any comments or info that might help the ASM----https://app.pluralsight.com/library/courses/entity-framework-6-getting-started/table-of-contents
Entity Framework 4.1 - DbContext Data Access - (Julie Lerman)	https://app.pluralsight.com/library/courses/ef41-data-access/table-of-contents	----**PUBLIC**--- Old version of EF (EF 4.1)--- Old Slides--- Old Aspect Ratio--- We want people to watch Julie's new stuff----**PRIVATE**--optional - any comments or info that might help the ASM----Replacement Course is: https://app.pluralsight.com/library/courses/entity-framework-6-getting-started/table-of-contents
Data Layer Validation with Entity Framework 4.1+ - (Julie Lerman)	https://app.pluralsight.com/library/courses/efvalidation/table-of-contents	------**PUBLIC**--- Old Version of EF (EF 4.1)--- Old Slides--- Old Aspect Ratio--- Want to direct people to our newer EF Content----**PRIVATE**--optional - any comments or info that might help the ASM----Replacement Course is https://app.pluralsight.com/library/courses/entity-framework-6-getting-started/table-of-contents
Designer Supported EDM Customization - (Julie Lerman)	https://app.pluralsight.com/library/courses/ef-customization/table-of-contents	----**PUBLIC**--- Old Version of EF (EF 4)--- Old Slides--- Old Aspect Ratio--- Want to direct learners to our newer content----**PRIVATE**--optional - any comments or info that might help the ASM----Replacement: https://app.pluralsight.com/library/courses/entity-framework-6-getting-started/table-of-contents--
Querying the Entity Framework - (Julie Lerman)	https://app.pluralsight.com/library/courses/querying-entity-framework/table-of-contents	----**PUBLIC**--- Old version of EF--- Old slides--- Old Aspect Ratio--- Want to direct viewers to new content----**PRIVATE**--optional - any comments or info that might help the ASM------Replacement: https://app.pluralsight.com/library/courses/entity-framework-6-getting-started/table-of-contents----
Looking Ahead to Entity Framework 7 - (Julie Lerman)	https://app.pluralsight.com/library/courses/entity-framework-7-looking-ahead/table-of-contents	----**PUBLIC**--- This was a preview course of what became EF Core.  It was done before EF Core was released, so it is not accurate to the current state of EF Core----**PRIVATE**--optional - any comments or info that might help the ASM----Viewers should be directed to https://app.pluralsight.com/library/courses/entity-framework-core-2-getting-started/table-of-contents----
EF Core 1.0: First Look - (Julie Lerman)	https://app.pluralsight.com/library/courses/play-by-play-ef-core-1-0-first-look-julie-lerman/table-of-contents	----**PUBLIC**--- First Look course and EF Core has changed significantly since then.  Content is just out of date------**PRIVATE**--optional - any comments or info that might help the ASM----Viewers should be directed to https://app.pluralsight.com/library/courses/entity-framework-core-2-getting-started/table-of-contents--
WCF 4 New Features - (Scott Seely)	https://app.pluralsight.com/library/courses/wcf4-newfeatures/table-of-contents	----**PUBLIC**--- Course is from 2010 and the content is now dated--- Old slides--- Old Aspect ration----Viewers can look at either https://app.pluralsight.com/library/courses/wcf-end-to-end/table-of-contents or https://app.pluralsight.com/library/courses/wcf-jumpstart/table-of-contents for more up to date coverage--
.NET Distributed Systems Architecture - (Scott Seely)	https://app.pluralsight.com/library/courses/dotnet-distributed-architecture/table-of-contents	----**PUBLIC**--- Course is from 2010 and content is dated--- Old Slides--- Old Aspect Ratio----**PRIVATE**--- Scott is a Tier 3 author and a number of his courses are rated less than 4 stars.  I'm not looking to have him create additional content for us at this time.----This replacements for this course are in multiple courses across the library, but we are covered on these topics.--
Web API Design (Shawn Wildermuth)	https://app.pluralsight.com/library/courses/web-api-design/table-of-contents	----**PUBLIC**--- Looks like an older version of Shawn's Implementing an API in WebAPI course--- Material is dated.  Does not cover Web API 2--- Title implies this is a design course, but don't want people to see that title and watch it since content is old--- Old branding--- old aspect ration----**PRIVATE**--Any other comments that might help the ASM in their discussion with the author----Shawn has another course in the library that is a suitable replacement that we will be asking him to update soon.
